ID_Posting,ID_Posting_Parent,ID_GodotObject,createdAt,p_merged_text,sentiment,overal_sentiment
1051784801,-1,2000116189812,2020-03-26 12:13:29.653,nie mehr Schule fassen warten pro zusammen,0.0,0.0
1051785187,-1,2000116189812,2020-03-26 12:19:13.047,Monat dauern Traumtänzer stehen einfach dafür,0.0,0.0
1051787674,-1,2000116189812,2020-03-26 12:54:17.667,zitieren Modell Modell egoistisch Prozess Parameter schätzen Wolfgang Pauli Institut geben überhaupt Grundlage Mathematik bezeichnen Gymnasiast exceltabell daten realisieren kommen Mathematiker Mauser Nützlichkeit Maskenpflicht reden daten schließen,-0.006925925925925926,-0.006925925925925926
1051793823,-1,2000116189812,2020-03-26 14:27:23.917,super schulen bleiben Eltern sollen bitteschön arbeiten gehen vergessen dürfen großeltern Enkel betreuen gut Idee Kind Sperr ma Keller,0.0,0.0
1051795844,-1,2000116189812,2020-03-26 14:57:20.867,Russland schon Armee Stellung bringen soeben Bild Truppenbewegung Freundenkollege Moskau erhalten Lockdown wenig aussehen Europa mehr Effekt,0.00047058823529411766,0.00047058823529411766
1051797363,-1,2000116189812,2020-03-26 15:21:39.020,Schweden gehen ganz laut vollpfosen,0.0,0.0
1051800287,-1,2000116189812,2020-03-26 16:09:27.953,Forschung Studie Statistik Unddieganze verbunden Lügerei ehren daran Ostern Betrieb geschäftewied aufsperrren führen vorbei Eswird überbordeneden Welle infitizieren kommen weit wirtschaftlich Stillstand drohen echt versorgungsengpässe Kürze Bürgerkrieg sehen allein Fake -- Leut plötzlich Trottel nudeln Häuslpapier hamsteren can ansatzweise ausmalen los wenns echt mehr futtern geben wennst Papperl Wegnimmst sogar lernen österreich Berserker lieb komplett Durchseuchung anschliessend Herdenimmunität sinnvoll,-0.0006220338983050844,-0.0006220338983050844
1051994953,-1,2000116305030,2020-03-30 06:09:17.083,gut morgen allerseits,0.0,0.0
1051995057,-1,2000116305030,2020-03-30 06:25:47.170,Kampf Mai aufnehmen wer April überleben,-0.08886666666666666,-0.08886666666666666
1051995690,-1,2000116305030,2020-03-30 07:17:35.470,Recht wenns um überleben gehen Angst berechtigen irgendwie bleiben daten löschen,-0.07921818181818181,-0.07921818181818181
1051996287,-1,2000116305030,2020-03-30 07:45:34.570,einzig Sinn tatsächlich Einführung überwachungsstaat unbelehrbaren eben handy zuhause lassen,0.0004,0.0004
1051996631,-1,2000116305030,2020-03-30 07:56:31.630,mehr brauchen sagen Bank 33mrd Dollar Gewinn,0.001142857142857143,0.001142857142857143
1051996762,-1,2000116305030,2020-03-30 08:00:25.807,Aktionär Pensionsfonds Kapitalgedeckt renen solange Hilfe brauchen,0.001142857142857143,0.001142857142857143
1051996981,-1,2000116305030,2020-03-30 08:07:17.283,wieso überhaupt gewalttätig Partner zusammen,0.0008,0.0008
1051997773,-1,2000116305030,2020-03-30 08:27:14.707,oh schön Panama,0.0,0.0
1051998158,-1,2000116305030,2020-03-30 08:34:33.380,Rotweißrot Airline Leiter,0.0,0.0
1051998379,-1,2000116305030,2020-03-30 08:38:36.087,gibts gekocht Rindfleisch Geröstet Kartoffel semmelkren kochen heute,0.0,0.0
1051999468,-1,2000116305030,2020-03-30 08:59:10.793,wieso informieren Mann dürfen selber melden ebenfalls nachgehen,0.0,0.0
1052000610,-1,2000116305030,2020-03-30 09:19:45.810,Lohnniveau ansehen ziemlich Katastrophe jung wirds mehr lange halten,-0.11171111111111112,-0.11171111111111112
1052000750,-1,2000116305030,2020-03-30 09:21:56.317,how much -- -- fish,0.0,0.0
1052001568,-1,2000116305030,2020-03-30 09:36:41.047,Wien -- neten Deppat,0.0,0.0
1052001585,-1,2000116305030,2020-03-30 09:36:57.273,Corina richten Einführung überwachungsstaat Mithilfe Terrorismus scheitern,-0.10151428571428571,-0.10151428571428571
1052001937,-1,2000116305030,2020-03-30 09:43:08.523,rayon,0.0,0.0
1052002200,-1,2000116305030,2020-03-30 09:47:37.387,nehmn gut Nachricht Kenntnis,0.0,0.0
1052003535,-1,2000116305030,2020-03-30 10:05:45.943,definitiv heute komplett shut Down verkünden niemand sein dumm 11 Uhr Vormittag sagen,0.0,0.0
1052003931,-1,2000116305030,2020-03-30 10:10:52.810,müssen bald möglich flächendeckend test durchführen zumindest ansätzen feststellen groß dunkelziff wirklich danach entscheiden Maßnahme Weitergemacht,0.0,0.0
1052004185,-1,2000116305030,2020-03-30 10:14:06.840,Handortung Recht leicht aushebeln Hand Haus lassen fertig,0.001,0.001
1052004422,-1,2000116305030,2020-03-30 10:16:52.407,gestern ähnlich schreiben nähern italienisch verhältnissen werden niedergestrichelt Fakt Zahl Intensivpatient steigen rasch ebenso sinken Zahl verfügbaren beatmungsgeräte darauf müssen vorbereiten zusätzlich weit Verschärfung Maßnahme notwendig,-0.0038,-0.0038
1052004808,-1,2000116305030,2020-03-30 10:21:03.323,soweit Pflichtschulmathematik Verdoppelungszeit Bereich durchschnittlich Dauer medizinisch Behandlung liegen kollabiern Gesundheitssystem kumulative fallzahlen exponentiell ansteigen scheinen expertenrund checken Replikationsfaktor klein einer klingen Epidemie rasch ab groß einer verbreiten Krankheit unweigerlich exponentiell Geschwindigkeit,-0.02145625,-0.02145625
1052005713,-1,2000116305030,2020-03-30 10:30:37.490,wetten -- gut abstimmen sagen Donauinselfest sicher stattfinden kurz nachher absagen lachen,0.002916666666666667,0.002916666666666667
1052006285,-1,2000116305030,2020-03-30 10:37:09.363,endlich Bargeld abschaffen sein unnötig,-0.0019199999999999998,-0.0019199999999999998
1052006574,-1,2000116305030,2020-03-30 10:40:21.200,warum Täuscht Inneministerium Gesundheitsministerium rein Profilierungssucht,0.0,0.0
1052006627,-1,2000116305030,2020-03-30 10:41:11.510,September Großveranstaltunge geben,0.0,0.0
1052007039,-1,2000116305030,2020-03-30 10:45:05.647,toller Coronainselfest Donauinselfest absagen,0.12665,0.12665
1052007154,-1,2000116305030,2020-03-30 10:46:16.770,einzeln sogenannter vipbox Abstand wahren bleiben Donauinselfest 500 ausgewählt zuschauer Bühne,0.0007272727272727273,0.0007272727272727273
1052007514,-1,2000116305030,2020-03-30 10:50:05.453,glauben Mitte September schon Normalität einführen,0.0,0.0
1052008577,-1,2000116305030,2020-03-30 11:01:45.137,nachdem Maßnahme bisher ganz greifen kriegen analsond verpassen,-0.1341,-0.1341
1052008613,-1,2000116305030,2020-03-30 11:02:03.193,kurz nehmen heuer feierlichkeiten 1 Mai Teil,0.0,0.0
1052008876,-1,2000116305030,2020-03-30 11:04:34.017,kurz bestehen offenbar akademisch viertelstunden,0.0016,0.0016
